Employee ID,Years of Experience
174,7
475,15
256,11
205,8
495,7
478,19
225,11
169,11
551,4
110,8
295,3
507,2
185,12
472,6
489,2
596,1
131,12
417,12
509,17
591,10
592,16
381,15
457,15
177,19
562,12
598,3
312,5
202,19
435,7
576,9
437,7
541,18
274,4
103,14
434,18
510,9
171,2
310,15
164,7
485,12
194,8
586,15
286,3
134,14
178,17
101,4
112,18
516,8
123,4
173,2
283,6
232,10
511,4
294,18
156,12
249,2
119,10
305,4
179,14
595,16
363,15
424,8
584,14
180,8
140,16
552,13
147,18
339,15
492,13
453,9
442,15
378,13
391,1
418,7
405,9
369,1
170,12
556,8
566,11
255,19
183,17
578,8
273,3
422,3
191,1
281,5
515,10
413,7
379,9
482,7
573,9
463,8
425,12
532,2
448,1
187,16
176,5
539,3
116,12
350,8
534,3
120,1
423,3
433,5
157,15
402,14
330,3
432,1
233,5
238,14
524,7
436,9
126,15
565,15
382,10
348,13
338,19
218,7
143,17
321,4
277,5
421,7
254,13
332,15
328,11
518,4
304,13
227,7
430,19
132,2
214,10
571,13
372,6
241,12
158,12
293,11
125,7
118,1
366,1
167,13
309,9
580,3
195,7
354,6
367,8
124,9
323,5
362,1
527,19
106,10
217,12
146,15
117,9
563,17
458,17
104,12
319,7
506,2
161,3
211,17
419,5
529,17
130,17
538,17
572,2
127,2
108,5
554,1
209,1
138,19
258,2
590,12
219,6
215,4
276,11
474,17
282,6
245,5
470,2
491,6
296,11
505,16
376,16
555,1
242,9
466,6
168,16
311,3
269,4
594,19
476,3
501,19
373,7
210,9
349,1
246,8
193,7
253,18
468,8
568,1
184,11
346,18
266,10
264,3
300,7
329,16
175,16
579,17
459,2
351,1
220,16
411,12
400,5
356,5
455,9
500,9
326,3
454,19
335,16
483,16
375,3
137,1
297,11
240,17
465,8
345,4
540,6
387,8
160,3
212,16
190,3
537,18
107,14
461,18
447,2
439,3
259,16
251,9
278,4
494,1
285,4
550,1
111,14
481,16
204,8
182,7
139,3
415,17
268,1
570,16
397,12
575,19
299,14
398,6
517,6
247,13
493,19
248,8
548,2
388,1
224,15
469,1
197,5
244,16
340,19
543,4
198,3
508,17
223,17
284,12
303,14
347,6
406,3
399,9
452,5
487,17
496,14
385,3
226,1
403,1
324,3
519,18
320,10
230,3
521,8
390,14
545,18
477,15
392,2
456,10
395,2
497,17
441,8
213,1
280,9
408,11
533,16
588,7
582,10
523,3
334,18
412,13
265,7
237,4
298,13
359,1
333,8
216,14
221,16
450,14
325,12
503,19
498,15
228,2
386,2
512,19
208,17
471,10
426,6
234,15
553,11
145,5
561,1
166,8
384,12
186,12
343,5
287,7
484,4
260,6
113,13
136,15
129,3
271,8
243,16
499,13
443,18
322,10
196,19
152,17
341,19
585,5
479,9
279,12
142,1
599,1
522,15
307,2
383,16
355,8
513,13
105,1
357,16
549,7
201,5
327,3
530,12
314,16
272,19
199,5
393,14
316,5
162,15
148,17
133,14
368,5
428,12
301,16
547,16
128,7
525,4
331,1
361,5
389,10
263,5
526,4
239,2
163,10
236,19
229,1
577,5
109,13
427,4
564,16
165,16
401,2
115,17
257,12
141,18
480,3
569,1
504,1
317,19
380,11
535,5
531,12
438,3
337,1
308,1
313,8
396,10
558,11
352,12
589,13
587,12
404,14
451,2
370,19
302,18
262,3
144,17
318,8
502,10
291,2
410,19
360,9
206,7
154,4
490,18
102,13
542,11
583,4
150,4
520,10
181,5
306,9
135,3
364,17
528,3
467,16
192,4
440,18
574,17
153,7
446,5
365,12
342,17
114,13
416,3
189,9
488,17
374,17
267,16
429,13
593,19
235,17
407,4
581,12
420,9
344,19
155,12
464,9
151,7
557,14
275,19
546,15
290,16
597,5
288,3
270,12
159,4
149,16
445,7
336,13
353,10
122,7
414,14
560,5
261,3
377,11
544,11
292,18
486,15
394,12
514,9
444,10
358,12
409,17
250,6
231,7
252,14
460,13
200,8
473,10
188,9
559,18
431,2
315,5
567,5
222,6
600,19
121,8
289,16
172,13
207,1
371,17
449,7
536,13
203,4
